SOS_ID,ITEM_ID,NUMBER,CLIP_SENT,CONN,CLIP_TARG,ORIG_TARG,CONDITION,TARGET_WORD
SR4a_29,29,116,L'idea dell'ingegnere del software era stata implementata nel nuovo prodotto. L'idea non ebbe successo. ,"Tuttavia, ",l'ingegnere ottenne una promozione.,l'ingegnere ottenne una promozione in azienda. ,PLAUS_CONN,promozione
SR4b_41,121,484,Mario ha citato in giudizio il medico per negligenza. Alla fine ha perso in tribunale. ,"Tuttavia, ",diventato ricco grazie al caso.,diventato ricco grazie al caso.,PLAUS_CONN,ricco
SR4b_61,141,564,Licia adora il suo attuale lavoro. Ha ricevuto un'offerta pi bassa da un'altra societˆ. ,"Tuttavia, ",ha accettato l'offerta,ha deciso di accettare la loro offerta.,PLAUS_CONN,accettare
SR4b_73,153,612,Luke non è socievole o estroverso. Resta sempre a casa dopo il lavoro.,"Tuttavia, ",faceva festa ogni fine settimana,ha passato ogni fine settimana a festeggiare da qualche parte.,PLAUS_CONN,festeggiare
SR1a_11,11,43,I funzionari della cittˆ sono stati portati in tribunale. Il giudice si pronunciato contro di loro. ,"Tuttavia, ",sono stati imprigionati immediatamente. ,sono stati imprigionati immediatamente. ,IMPLAUS_CONN,imprigionati
SR1a_31,31,123,Il governatore era stato assassinato. La scena del crimine era coperta dalle impronte digitali della moglie. ,"Tuttavia,",la donna venne arrestata.,la donna venne arrestata immediatamente.,IMPLAUS_CONN,arrestata
SR1a_35,35,139,Linda non riusciva a trovare la sua carta di credito. Era preoccupata che fosse stata rubata. ,"Tuttavia, ",aveva deciso di cancellarla.,aveva deciso di cancellarla immediatamente.,IMPLAUS_CONN,cancellarla
SR1a_43,43,171,Il ragazzo aveva preso lo skilift fino in cima. Dopo aveva sciato fino in fondo. ,"Tuttavia, ",era fiero di sŽ stesso. ,era molto fiero di sŽ stesso. ,IMPLAUS_CONN,fiero
SR1b_39,119,475,Carolina ascoltava la radio. La tempesta della scorsa notte aveva lasciato diversi metri di neve.,"Tuttavia, ",le scuole erano chiuse.,le scuole erano chiuse quel giorno.,IMPLAUS_CONN,chiuso
SR1b_55,135,539,La senatrice si rec˜ da sola in viaggio all'estero. Era in una zona pericolosa. ,"Tuttavia,",è stata rapita da criminali.,stata poi rapita da due criminali.,IMPLAUS_CONN,rapita
SR1b_71,151,603,Il tetto aveva avuto una falla in cucina. Il tuttofare passato e l'ha riparato. ,"Tuttavia, ",il gocciolamento cessato.,il gocciolamento cessato molto presto.,IMPLAUS_CONN,cessato
SR2a_34,34,135,Luigi stato a casa da solo per un'intera settimana. Non ha ricevuto nessuna telefonata. ,"Tuttavia, ",si sentiva davvero solo.,si sentiva davvero solo quella settimana.,IMPLAUS_CONN,solo
SR2b_18,98,391,"
L'uomo è rimasto fuori tutta la notte. Il giorno dopo ha preso un terribile raffreddore.","Tuttavia, ",il giorno dopo ha la tosse.,la mattina dopo aveva tosse e naso che cola.,IMPLAUS_CONN,tosse
SR2b_58,138,551,Melinda e suo marito sono andati a cena al ristorante di pesce. Adorano i molluschi.,"Tuttavia,",Melinda ha ordinato ostriche.,Melinda ha ordinato ostriche per cena.,IMPLAUS_CONN,ostriche
SR2b_66,146,583,Donato ha fatto rimuovere un neo da un chirurgo. é stata una procedura facile. ,"Tuttavia, ",l'operazione stata un successo,l'operazione stata un successo quel giorno,IMPLAUS_CONN,successo
SR3a_09,9,35,La star di Broadway ha avuto un assolo nel musical. Ha cantato il pezzo magnificamente. ,"Tuttavia, ",il pubblico ha applaudito,il pubblico ha applaudito molto energicamente.,IMPLAUS_CONN,applaudito
SR3a_29,29,115,L'idea dell'ingegnere del software era stata implementata nel nuovo prodotto. L'idea si rivel˜ popolare. ,"Tuttavia, ",l'ingegnere ottenne una promozione,l'ingegnere ottenne una promozione in azienda.,IMPLAUS_CONN,promozione
SR3a_65,65,259,Giovanni stava facendo domanda per un lavoro. Non era qualificato per nessuna posizione. ,"Tuttavia, ",era ormai disoccupato da.,era ormai disoccupato da pi di un anno.,IMPLAUS_CONN,disoccupato
SR3b_21,101,403,Il sensitivo afferma di vedere il futuro. é stato utile a molte persone. ,"Tuttavia, ",i clienti sono rimasti soddisfatti.,i clienti sono rimasti soddisfatti delle sue predizioni.,IMPLAUS_CONN,soddisfatti
SR3b_65,145,579,Jessica aveva chiesto una bicicletta per Natale. I suoi genitori gliene hanno regalata una. ,"Tuttavia, ",Jessica era molto felice.,Jessica era molto felice per il regalo.,IMPLAUS_CONN,felice
SR3b_69,149,595,Giovanna pulisce raramente la sua casa. Ha due bambini piccoli a casa. ,"Tuttavia, ",la sua cucina era in disordine ,la sua cucina era in disordine tutto il tempo.,IMPLAUS_CONN,disordine
SR4a_24,24,95,La sarta stava appuntando l'abito di Tobia. Era sbrigativa e negligente con gli spilli. ,"Tuttavia,",Tobia fu punto due volte,Tobia venne punto un paio di volte.,IMPLAUS_CONN,punto
SR4a_60,60,239,Thomas ha dormito profondamente la scorsa notte. Ha bevuto una tazza di caffè stamattina.,"Tuttavia, ",si sentiva pieno di energia,si sentiva sveglio e pieno di energie al lavoro.,IMPLAUS_CONN,sveglio
SR4b_04,84,335,L'astronomo pensava di aver trovato un nuovo pianeta. L'analisi del computer ha mostrato che si sbagliava. ,"Tuttavia, ",era molto abbattuto per questo.,era molto abbattuto per questo.,IMPLAUS_CONN,abbattuto
SR4b_20,100,399,"
La vecchia scendeva lentamente i gradini innevati. È caduto e si è rotto l'anca.","Tuttavia, ",dopo rimase in ospedale.,dopo rimase in ospedale per un po' di tempo.,IMPLAUS_CONN,ospedale
